PRACTICE_CODE,TOTAL,16OV,17OV,18OV,30_74,50OV,0_64,65OV,65OV%
A83052,8714,7282,7181,7106,5258,3838,6715,1999,0.229400964
A83054,15600,12849,12653,12480,9166,6978,12151,3449,0.221089744
A83055,4474,3702,3661,3623,2657,2009,3339,1135,0.253687975
A83057,18211,15048,14856,14667,10339,7518,14585,3626,0.199110428
A83060,2976,2548,2515,2484,1878,1515,2273,703,0.236223118
A83061,3426,2922,2889,2853,2117,1808,2509,917,0.267659078
A83066,10819,8641,8515,8394,6115,3973,9054,1765,0.163138922
A83070,5624,4732,4666,4606,3388,2708,4233,1391,0.247332859
A83071,4794,3877,3821,3769,2768,1832,4022,772,0.161034627
A83072,4235,3491,3451,3406,2479,1987,3146,1089,0.257142857
A83073,5104,4243,4186,4153,2938,2281,3892,1212,0.237460815
A83074,11819,9548,9420,9301,6685,4659,9651,2168,0.183433455
A83075,8486,7073,6988,6905,4990,3556,6827,1659,0.195498468
A83610,3034,2434,2388,2355,1747,1139,2530,504,0.166117337
A83616,7865,6413,6329,6243,4549,3171,6395,1470,0.186904005
A83617,2615,2225,2195,2166,1578,1160,2073,542,0.207265774
A83618,7443,6143,6082,6018,4495,3231,5838,1605,0.215638855
A83619,3276,2630,2590,2555,1867,1169,2824,452,0.137973138
A83622,1644,1371,1356,1336,1028,758,1263,381,0.231751825
A83626,2059,1708,1688,1668,1244,923,1601,458,0.222438077
A83627,6002,4697,4637,4579,3389,1909,5207,795,0.132455848
A83630,2381,1981,1956,1920,1397,851,2008,373,0.156656867
A83632,2279,1940,1917,1898,1394,1082,1742,537,0.235629662
A83634,2762,2293,2270,2246,1638,1268,2115,647,0.234250543
A83635,4158,3316,3275,3239,2334,1272,3596,562,0.135161135
A83636,6025,4895,4840,4782,3488,2373,4938,1087,0.180414938
A83637,2119,1769,1748,1726,1296,936,1695,424,0.200094384
A83641,4765,3850,3798,3745,2777,1536,4128,637,0.133683106
A83644,3581,2910,2877,2848,2104,1442,2875,706,0.197151634
A84002,5852,5119,5071,5025,3707,3596,3830,2022,0.345522898
A84003,13709,11309,11177,11046,7885,5610,10922,2787,0.203297104
A84005,12063,9927,9784,9643,6894,5170,9515,2548,0.211224405
A84006,18548,16002,15800,15614,11202,9867,13225,5323,0.28698512
A84007,10043,8600,8492,8370,5858,5261,7144,2899,0.288658767
A84008,4493,4002,3968,3935,2829,2735,2955,1538,0.34231026
A84009,26595,21577,21264,21004,15058,10433,21523,5072,0.19071254
A84011,7598,6348,6257,6175,4367,3742,5551,2047,0.269413003
A84013,6199,5132,5062,5011,3576,2635,4903,1296,0.209065978
A84014,12710,10468,10323,10185,7209,5404,9905,2805,0.220692368
A84015,2426,1979,1957,1924,1411,952,1957,469,0.193322341
A84016,6846,5619,5531,5450,4004,2837,5547,1299,0.189745837
A84018,7004,6028,5958,5895,4210,3882,4853,2151,0.307110223
A84020,8083,6838,6761,6684,4706,3882,6091,1992,0.246443152
A84022,11933,10200,10090,9996,7214,6121,8760,3173,0.265901282
A84024,9805,8353,8244,8145,5739,4920,7211,2594,0.264558899
A84025,4909,4089,4044,3994,2982,2173,3734,1175,0.239356284
A84026,8961,7577,7474,7375,5241,4383,6492,2469,0.275527285
A84027,3364,2897,2859,2824,2114,1879,2410,954,0.283590963
A84028,17853,14836,14641,14459,10444,7651,14085,3768,0.211056965
A84029,2651,2218,2189,2168,1582,1275,1973,678,0.255752546
A84030,9550,8076,7968,7875,5565,4359,7054,2496,0.261361257
A84031,9753,8374,8276,8182,5900,5089,7054,2699,0.276735363
A84032,2410,2118,2099,2083,1497,1430,1624,786,0.326141079
A84033,6028,5140,5070,5014,3624,3102,4375,1653,0.274220305
A84034,5546,4711,4642,4598,3369,2946,3897,1649,0.29733141
A84035,6107,5191,5134,5064,3667,3047,4478,1629,0.266743082
A84036,19243,15882,15691,15503,11457,8776,14872,4371,0.227147534
A84037,5990,5109,5050,4996,3613,2726,4641,1349,0.225208681
A84038,6598,5528,5448,5396,3908,2953,4895,1703,0.258108518
A84039,5735,4893,4834,4778,3474,2888,4190,1545,0.269398431
A84040,3645,3161,3136,3106,2311,1986,2609,1036,0.284224966
