PRACTICE_CODE,Percent_male,Total,AgeAll,AgeMale,AgeFemale,16+,17+,18+,30_74,50+,0_64,65+,16perc,17perc,18perc,30_74perc,50perc,0_64perc,65perc,QOF
B82622,0.498430634,1593,51.46516008,50.40050378,52.52315394,1445,1432,1415,1054,987,1061,532,0.907093534,0.898932831,0.888261142,0.661644696,0.619585687,0.66603892,0.33396108,Yes
J84003,0.503528937,4959,49.46400484,48.36563877,50.57798538,4281,4239,4198,3016,2817,3303,1656,0.863278887,0.854809437,0.846541641,0.608187135,0.568058076,0.666061706,0.333938294,Yes
D83035,0.492507205,10410,49.38232469,48.15213575,50.57618777,9008,8903,8818,6147,5862,6938,3472,0.865321806,0.855235351,0.847070125,0.590489914,0.563112392,0.666474544,0.333525456,Yes
G81004,0.479336596,11034,49.07350009,47.01285687,50.97058312,9452,9359,9273,6246,5947,7363,3671,0.856624977,0.848196484,0.840402393,0.566068515,0.538970455,0.667301069,0.332698931,Yes
G81051,0.484524319,7011,49.77392669,48.77038563,50.71721085,6109,6050,5986,4255,4005,4680,2331,0.871345029,0.862929682,0.85380117,0.606903437,0.571245186,0.667522465,0.332477535,Yes
N84024,0.471810399,9578,50.193673,48.40916132,51.78770508,8455,8354,8270,5616,5443,6395,3183,0.88275214,0.872207141,0.863437043,0.586343704,0.568281478,0.667675924,0.332324076,Yes
L83057,0.479123028,7161,49.4010613,48.34625474,50.37131367,6154,6079,6022,4070,4001,4786,2375,0.859377182,0.848903784,0.840944002,0.568356375,0.558720849,0.66834241,0.33165759,Yes
L82057,0.493984187,2909,49.71295978,48.47668754,50.91983696,2519,2489,2467,1766,1674,1945,964,0.86593331,0.855620488,0.848057752,0.607081471,0.575455483,0.668614644,0.331385356,Yes
A82034,0.496120348,6315,49.15328583,48.24736674,50.04525456,5454,5362,5252,3607,3525,4223,2092,0.863657957,0.84908947,0.831670625,0.571179731,0.558194774,0.668725257,0.331274743,Yes
M82021,0.480014804,8106,49.92005922,49.12361861,50.65527877,7054,6979,6913,4645,4608,5423,2683,0.87021959,0.860967185,0.852825068,0.573032322,0.568467802,0.669010609,0.330989391,Yes
B81004,0.494210025,12608,48.96264277,47.92794094,49.97365532,10942,10799,10674,7637,7046,8437,4171,0.867861675,0.85651967,0.84660533,0.605726523,0.558851523,0.669178299,0.330821701,Yes
M83601,0.489369179,5691,49.31453172,48.30017953,50.28664831,4901,4864,4804,3356,3087,3809,1882,0.861184326,0.854682833,0.84413987,0.58970304,0.542435424,0.669302407,0.330697593,Yes
J82104,0.470167806,12872,49.28480423,48.08906147,50.34589443,11056,10920,10800,7417,7132,8622,4250,0.858918583,0.848353014,0.839030454,0.576211933,0.554070851,0.669825979,0.330174021,Yes
